"filename", "language", "TypeScript React", "TypeScript", "JSON", "XML", "SCSS", "CSS", "comment", "blank", "total"
"/Users/faraj_shuaib/projects/sahaba/front/src/hooks/useCrud.ts", "TypeScript", 0, 187, 0, 0, 0, 0, 4, 17, 208
"/Users/faraj_shuaib/projects/sahaba/front/src/hooks/useDarkMode.ts", "TypeScript", 0, 39, 0, 0, 0, 0, 0, 11, 50
"/Users/faraj_shuaib/projects/sahaba/front/src/hooks/useIpfs.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 7, 36
"/Users/faraj_shuaib/projects/sahaba/front/src/hooks/useRecaptcha.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 1, 9, 39
"/Users/faraj_shuaib/projects/sahaba/front/src/hooks/useWindowResize.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 7, 3, 30
"/Users/faraj_shuaib/projects/sahaba/front/src/index.tsx", "TypeScript React", 12, 0, 0, 0, 0, 0, 1, 4, 17
"/Users/faraj_shuaib/projects/sahaba/front/src/locales/ar.json", "JSON", 0, 0, 291, 0, 0, 0, 0, 1, 292
"/Users/faraj_shuaib/projects/sahaba/front/src/locales/en.json", "JSON", 0, 0, 296, 0, 0, 0, 0, 1, 297
"/Users/faraj_shuaib/projects/sahaba/front/src/locales/index.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/faraj_shuaib/projects/sahaba/front/src/pages/AccountPage.tsx", "TypeScript React", 516, 0, 0, 0, 0, 0, 75, 21, 612
"/Users/faraj_shuaib/projects/sahaba/front/src/pages/AuthorPage.tsx", "TypeScript React", 180, 0, 0, 0, 0, 0, 2, 12, 194
"/Users/faraj_shuaib/projects/sahaba/front/src/pages/KYC_Form.tsx", "TypeScript React", 401, 0, 0, 0, 0, 0, 23, 18, 442
"/Users/faraj_shuaib/projects/sahaba/front/src/pages/NftDetailPage/AccordionInfo.tsx", "TypeScript React", 57, 0, 0, 0, 0, 0, 0, 3, 60
"/Users/faraj_shuaib/projects/sahaba/front/src/pages/NftDetailPage/LikeSaveBtns.tsx", "TypeScript React", 61, 0, 0, 0, 0, 0, 0, 5, 66
"/Users/faraj_shuaib/projects/sahaba/front/src/pages/NftDetailPage/NftDetailPage.tsx", "TypeScript React", 312, 0, 0, 0, 0, 0, 17, 32, 361
"/Users/faraj_shuaib/projects/sahaba/front/src/pages/NftDetailPage/NftItem.tsx", "TypeScript React", 27, 0, 0, 0, 0, 0, 1, 7, 35
"/Users/faraj_shuaib/projects/sahaba/front/src/pages/NftDetailPage/TabDetail.tsx", "TypeScript React", 236, 0, 0, 0, 0, 0, 0, 14, 250
"/Users/faraj_shuaib/projects/sahaba/front/src/pages/NftDetailPage/TimeCountDown.tsx", "TypeScript React", 65, 0, 0, 0, 0, 0, 0, 5, 70
"/Users/faraj_shuaib/projects/sahaba/front/src/pages/Page404.tsx", "TypeScript React", 28, 0, 0, 0, 0, 0, 1, 4, 33
"/Users/faraj_shuaib/projects/sahaba/front/src/pages/PageCollection.tsx", "TypeScript React", 260, 0, 0, 0, 0, 0, 11, 22, 293
"/Users/faraj_shuaib/projects/sahaba/front/src/pages/PageCollections.tsx", "TypeScript React", 107, 0, 0, 0, 0, 0, 2, 16, 125
"/Users/faraj_shuaib/projects/sahaba/front/src/pages/PageConnectWallet.tsx", "TypeScript React", 177, 0, 0, 0, 0, 0, 10, 14, 201
"/Users/faraj_shuaib/projects/sahaba/front/src/pages/PageCreateCollection.tsx", "TypeScript React", 687, 0, 0, 0, 0, 0, 31, 37, 755
"/Users/faraj_shuaib/projects/sahaba/front/src/pages/PageHome/PageHome.tsx", "TypeScript React", 37, 0, 0, 0, 0, 0, 5, 8, 50
"/Users/faraj_shuaib/projects/sahaba/front/src/pages/PageHome/SectionGridFeatureNFT2.tsx", "TypeScript React", 71, 0, 0, 0, 0, 0, 1, 7, 79
"/Users/faraj_shuaib/projects/sahaba/front/src/pages/PageHome/SectionLargeSlider.tsx", "TypeScript React", 52, 0, 0, 0, 0, 0, 0, 9, 61
"/Users/faraj_shuaib/projects/sahaba/front/src/pages/PageSearch.tsx", "TypeScript React", 158, 0, 0, 0, 0, 0, 4, 13, 175
"/Users/faraj_shuaib/projects/sahaba/front/src/pages/PageUploadItem.tsx", "TypeScript React", 491, 0, 0, 0, 0, 0, 33, 34, 558
"/Users/faraj_shuaib/projects/sahaba/front/src/router.tsx", "TypeScript React", 78, 0, 0, 0, 0, 0, 1, 3, 82
"/Users/faraj_shuaib/projects/sahaba/front/src/services/connectors.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 5, 33
